gene,ensembl_gene_id,log2FoldChange,padj
Pomc,ENSMUSG00000020660,6.15424779575248,0
Cul3,ENSMUSG00000004364,3.81419714302389,2.12054021679303e-256
mt-Atp6,ENSMUSG00000064357,-4.57610555044502,1.07364628719826e-178
Cartpt,ENSMUSG00000021647,3.25473221079989,8.73299407893658e-154
Rn7sk,ENSMUSG00000065037,-2.96628907000725,1.67929506135211e-121
Slc1a3,ENSMUSG00000005360,-2.29309828317254,3.72038386057251e-96
Elp6,ENSMUSG00000054836,-3.12641004200594,1.62255664248659e-92
Serpina3n,ENSMUSG00000021091,3.10313780769585,6.11264173259155e-91
Tbx3,ENSMUSG00000018604,3.56202048229541,1.56172450400364e-90
Asb4,ENSMUSG00000042607,2.75023744182407,2.20894793237518e-90
mt-Nd4l,ENSMUSG00000065947,-3.26114245740189,1.29948473509374e-89
Apoe,ENSMUSG00000002985,-2.31216224389098,3.49208475555926e-87
Qk,ENSMUSG00000062078,-2.16929655490544,1.96226278820093e-74
Olig1,ENSMUSG00000046160,-2.06648225762101,5.04542109552633e-71
Plaat3,ENSMUSG00000060675,-2.37801887856974,2.81525402259983e-70
Gpx3,ENSMUSG00000018339,1.80585473568404,1.82862784495602e-69
Plagl1,ENSMUSG00000019817,2.45975987570832,3.53549866686885e-69
mt-Nd5,ENSMUSG00000064367,-2.80927198134829,3.49010360958237e-66
Zeb2,ENSMUSG00000026872,-2.41577287634788,6.91136656207235e-61
Prdm12,ENSMUSG00000079466,3.82298422768566,2.78784906218885e-60
Selenop,ENSMUSG00000064373,-1.99094693769215,1.30036399789387e-59
Car2,ENSMUSG00000027562,-2.1388359369993,3.79696509738596e-59
Pmch,ENSMUSG00000035383,-2.24034279019302,1.1081016372437e-58
Aldh1a1,ENSMUSG00000053279,-1.96102724246409,3.56639681749982e-57
Rn7s1,ENSMUSG00000099021,-2.37193667094051,4.18601835647998e-56
Dbi,ENSMUSG00000026385,-1.85299124024359,1.07698624658837e-55
Ednrb,ENSMUSG00000022122,-2.19970139076024,2.01869608550771e-55
Myo6,ENSMUSG00000033577,-2.12689609114392,7.05085290946443e-55
Sdc4,ENSMUSG00000017009,-1.96761985279168,1.02479244472613e-54
Aqp4,ENSMUSG00000024411,-2.29955868497943,1.78494512159421e-54
Ermn,ENSMUSG00000026830,-2.3115272361266,2.83528401648856e-54
Plpp3,ENSMUSG00000028517,-2.05382436857647,5.21526494655024e-54
Cited1,ENSMUSG00000051159,2.64202189235112,1.16183615003348e-53
Slc4a4,ENSMUSG00000060961,-2.05997479129247,2.43424611970888e-53
Itih3,ENSMUSG00000006522,-2.0256346575376,1.16977109020007e-52
Glp1r,ENSMUSG00000024027,3.0132817744828,1.53275606416505e-52
Atp1a2,ENSMUSG00000007097,-1.92901638315451,2.11315929862828e-52
Epas1,ENSMUSG00000024140,-1.81291715822227,2.60247520896143e-52
Ddx46,ENSMUSG00000021500,1.98337461048127,1.48336780118869e-51
