gene,ensembl_gene_id,log2FoldChange,padj
Gnai3,ENSMUSG00000000001,-0.69568,0.0000000000377088538646446
Cdc45,ENSMUSG00000000028,0.33978,0.301419544551761
H19,ENSMUSG00000000031,-2.81524,0.00514674902419065
Scml2,ENSMUSG00000000037,-0.92935,0.0509538315697067
Apoh,ENSMUSG00000000049,1.50614,0.18158340473162
Narf,ENSMUSG00000000056,-0.05011,0.750225833673027
Cav2,ENSMUSG00000000058,-0.20679,0.200477242987297
Klf6,ENSMUSG00000000078,-0.31236,0.00772131106647414
Scmh1,ENSMUSG00000000085,-0.39288,0.00000131879800812016
Cox5a,ENSMUSG00000000088,1.07266,0.000000000132785214479438
Tbx2,ENSMUSG00000000093,-2.52335,0.0103168503937027
Tbx4,ENSMUSG00000000094,-2.82645,1
Zfy2,ENSMUSG00000000103,-1.09885,1
Ngfr,ENSMUSG00000000120,-0.25676,0.355854862929655
Wnt3,ENSMUSG00000000125,0.05905,0.868331303451343
Wnt9a,ENSMUSG00000000126,0.427,0.363281308559732
Fer,ENSMUSG00000000127,-0.8364,0.000000000000000109335998617638
Xpo6,ENSMUSG00000000131,0.3629,0.0000165453125337874
Tfe3,ENSMUSG00000000134,0.42813,0.0000115975849415401
Axin2,ENSMUSG00000000142,-0.13317,0.261396299903137
Brat1,ENSMUSG00000000148,0.12963,0.577971728891074
Gna12,ENSMUSG00000000149,-1.99313,0.00000000000000000000000000000000000000000000000000501290247195887
Slc22a18,ENSMUSG00000000154,-0.78809,0.269968104698704
Itgb2l,ENSMUSG00000000157,0.57941,0.818254067287164
Igsf5,ENSMUSG00000000159,-0.20804,0.892894507862476
Pih1d2,ENSMUSG00000000167,-0.06798,0.910476912065294
Dlat,ENSMUSG00000000168,0.57598,0.0000000000000955100437055668
Sdhd,ENSMUSG00000000171,0.65195,0.00000130433132229956
Fgf23,ENSMUSG00000000182,-0.97157,0.00482482618004521
Fgf6,ENSMUSG00000000183,1.93065,1
Ccnd2,ENSMUSG00000000184,-1.21804,0.000000615942760328138
Gpr107,ENSMUSG00000000194,0.15685,0.188962562939169
Nalcn,ENSMUSG00000000197,0.62201,0.00000000306088738119514
Btbd17,ENSMUSG00000000202,-0.13633,0.700706981775792
Th,ENSMUSG00000000214,-0.73918,0.0496095915507604
Ins2,ENSMUSG00000000215,-3.67038,0.136762831939631
Scnn1g,ENSMUSG00000000216,-1.28711,0.262247289239205
Drp2,ENSMUSG00000000223,-0.38817,0.000642299807589206
Tspan32,ENSMUSG00000000244,-1.95597,0.205871436865937
Lhx2,ENSMUSG00000000247,0.02602,0.945345230170767
Clec2g,ENSMUSG00000000248,1.51973,1
Gmpr,ENSMUSG00000000253,0.47927,0.000650808836601744
Glra1,ENSMUSG00000000263,0.67094,0.000812063341649164
Mid2,ENSMUSG00000000266,0.15636,0.163144064521853
Trim25,ENSMUSG00000000275,-1.79979,0.000000000000000000840700714358874
Dgke,ENSMUSG00000000276,0.19939,0.121222261330131
Scpep1,ENSMUSG00000000278,0.11065,0.442467954707445
Mnt,ENSMUSG00000000282,0.22904,0.0562966465707786
Itgb2,ENSMUSG00000000290,-1.4943,0.00247911848251451
Hddc2,ENSMUSG00000000295,0.18208,0.352828040062815
