gene,ensembl_gene_id,log2FoldChange,padj
Gnai3,ENSMUSG00000000001,-0.35506,0.101046864948494
Cdc45,ENSMUSG00000000028,1.11602,0.162874358984911
Narf,ENSMUSG00000000056,-0.95666,0.00395662597443594
Cav2,ENSMUSG00000000058,-0.74067,0.289777811786823
Klf6,ENSMUSG00000000078,-0.45996,0.0306195517118647
Scmh1,ENSMUSG00000000085,-0.48131,0.0568091346228768
Cox5a,ENSMUSG00000000088,0.95501,0.000744458326469937
Ngfr,ENSMUSG00000000120,-2.55284,0.0221885977726278
Fer,ENSMUSG00000000127,-0.86699,0.0220282194009122
Xpo6,ENSMUSG00000000131,0.14804,0.350351694433707
Tfe3,ENSMUSG00000000134,0.52352,0.11393945298992
Axin2,ENSMUSG00000000142,-0.1512,0.752348471382687
Brat1,ENSMUSG00000000148,0.20256,0.754014616209857
Gna12,ENSMUSG00000000149,-0.94136,0.00175353968312849
Pih1d2,ENSMUSG00000000167,-0.53388,0.50351608852316
Dlat,ENSMUSG00000000168,0.49145,0.0364726310847644
Sdhd,ENSMUSG00000000171,0.79372,0.00195776044702999
Fgf23,ENSMUSG00000000182,-1.12675,0.447948593799588
Ccnd2,ENSMUSG00000000184,0.30505,1
Gpr107,ENSMUSG00000000194,0.48508,0.109174967221026
Nalcn,ENSMUSG00000000197,-0.49777,0.152460843139731
Btbd17,ENSMUSG00000000202,-0.67166,0.609477250807118
Th,ENSMUSG00000000214,-1.4733,3.26365396691631e-06
Drp2,ENSMUSG00000000223,-0.74865,0.000410035190403067
Lhx2,ENSMUSG00000000247,0.26713,0.577602152132532
Gmpr,ENSMUSG00000000253,0.5075,0.394431238417143
Glra1,ENSMUSG00000000263,-0.89265,0.215741664067693
Mid2,ENSMUSG00000000266,-0.2144,0.20023496393555
Trim25,ENSMUSG00000000275,1.3661,8.45940875064123e-06
Dgke,ENSMUSG00000000276,0.01049,0.977653041177983
Scpep1,ENSMUSG00000000278,-0.11985,0.81897437865348
Mnt,ENSMUSG00000000282,0.48597,0.0147846762919224
Hddc2,ENSMUSG00000000295,0.2296,0.413404633786629
Tpd52l1,ENSMUSG00000000296,0.47673,0.143723465343621
Ckmt1,ENSMUSG00000000308,-0.08948,0.777059564871845
Arvcf,ENSMUSG00000000325,-0.19985,0.251885474947955
Comt,ENSMUSG00000000326,0.29999,0.317225910597374
Rtca,ENSMUSG00000000339,0.81496,0.00287443220981684
Dbt,ENSMUSG00000000340,-0.65562,0.0461233435855287
Dazap2,ENSMUSG00000000346,-1.46653,3.84823967184818e-09
Mcts1,ENSMUSG00000000355,0.65087,0.0723706194057715
Trappc10,ENSMUSG00000000374,0.14647,0.724152127633015
Ccm2,ENSMUSG00000000378,0.84749,0.00397176628976936
Tbrg4,ENSMUSG00000000384,0.22642,0.550155646592371
Ndufa9,ENSMUSG00000000399,0.36954,0.260263367088617
Egfl6,ENSMUSG00000000402,-1.69809,0.111722439837981
Lck,ENSMUSG00000000409,1.09683,0.0324101557818098
Tssk3,ENSMUSG00000000411,-0.35088,0.897111274708146
Cttnbp2,ENSMUSG00000000416,-1.56234,0.00132598611971431
Galnt1,ENSMUSG00000000420,-0.32733,0.188094924416902
Mkrn2,ENSMUSG00000000439,0.44584,0.0418347400359269
Raf1,ENSMUSG00000000441,-0.57588,0.0213262651576843
Grasp,ENSMUSG00000000531,0.7724,0.296389688152806
Acvr1b,ENSMUSG00000000532,0.07201,0.839028216428777
Tom1l2,ENSMUSG00000000538,-0.6387,7.78872833567571e-07
Zfp385a,ENSMUSG00000000552,-0.29706,0.310752889381311
Gabra2,ENSMUSG00000000560,-0.33421,0.223328175460493
Wdr77,ENSMUSG00000000561,0.86852,0.0055882769698833
Atp5pb,ENSMUSG00000000563,0.27135,0.148633364269087
Sox9,ENSMUSG00000000567,-2.74143,4.29089739693572e-34
Hnrnpd,ENSMUSG00000000568,-0.62745,1.0159730350904e-05
Dynlt1c,ENSMUSG00000000579,0.44422,0.246358773353925
C1d,ENSMUSG00000000581,0.52517,0.00799184051209542
Gm2a,ENSMUSG00000000594,-1.47916,4.37829920551595e-05
Krit1,ENSMUSG00000000600,-0.35252,0.0795211509017327
Clcn4,ENSMUSG00000000605,-0.79074,0.071801188346949
Sema4f,ENSMUSG00000000627,2.47239,1.57526473582777e-07
Hk2,ENSMUSG00000000628,2.07505,3.99734414206134e-11
Myo18a,ENSMUSG00000000631,-0.60572,0.0168092123455114
Sez6,ENSMUSG00000000632,-0.75827,0.189888813480177
Loxl3,ENSMUSG00000000693,1.0114,1
Kat2b,ENSMUSG00000000708,-2.04388,2.68935082303321e-08
Rab5b,ENSMUSG00000000711,-0.35822,0.101608524457979
