gene,ensembl_gene_id,log2FoldChange,padj
Oxt,ENSMUSG00000027301,4.70071,0
Avp,ENSMUSG00000037727,5.24193,0
mt-Nd2,ENSMUSG00000064345,-7.00112,0
mt-Atp8,ENSMUSG00000064356,-7.33159,0
mt-Atp6,ENSMUSG00000064357,-7.39091,0
mt-Nd6,ENSMUSG00000064368,-6.81738,0
mt-Cytb,ENSMUSG00000064370,-6.98038,0
Gm20721,ENSMUSG00000090625,5.46645,0
Cdr1,ENSMUSG00000090546,-4.5648,3.42925144339146e-281
mt-Nd4,ENSMUSG00000064363,-6.76988,3.56637215002628e-254
mt-Nd5,ENSMUSG00000064367,-6.19115,6.79679463473387e-254
mt-Nd1,ENSMUSG00000064341,-6.27042,5.54065700055269e-251
Ghrh,ENSMUSG00000027643,4.27904,2.42518666715548e-221
Glp1r,ENSMUSG00000024027,4.6555,4.22724758889092e-199
Fth1,ENSMUSG00000024661,-1.96298,1.72316125673521e-175
Tmem88b,ENSMUSG00000073680,-2.90723,2.01726540583775e-172
Sst,ENSMUSG00000004366,2.3479,4.68492901436101e-165
Cartpt,ENSMUSG00000021647,2.52696,2.42725280660369e-159
Nme7,ENSMUSG00000026575,-3.8375,6.21989509452337e-138
mt-Co2,ENSMUSG00000064354,-6.68393,1.62298126952246e-135
Nfia,ENSMUSG00000028565,-2.34919,4.72524576993641e-131
Ankrd12,ENSMUSG00000034647,-1.85895,5.28340727341808e-115
Gal,ENSMUSG00000024907,2.42746,1.02746140219392e-109
Trp53i11,ENSMUSG00000068735,1.81525,2.19707447046019e-109
Snhg11,ENSMUSG00000044349,-3.73029,2.05995799749062e-105
Pcsk1n,ENSMUSG00000039278,1.31416,1.11861794215442e-102
Sptbn1,ENSMUSG00000020315,-1.73581,5.40619732860037e-99
Pclo,ENSMUSG00000061601,-1.932,1.54414079556515e-98
Csrp1,ENSMUSG00000026421,-2.01153,3.72008522068723e-98
Pmch,ENSMUSG00000035383,-2.56421,3.39416558809684e-97
Macf1,ENSMUSG00000028649,-2.4286,2.35566821337836e-95
Parm1,ENSMUSG00000034981,1.62123,2.6711583435175e-95
Gpx3,ENSMUSG00000018339,1.87164,3.64985948698414e-93
Rreb1,ENSMUSG00000039087,-3.75151,7.46994305998373e-91
Gatm,ENSMUSG00000027199,-2.56007,2.7776439284893e-86
Gm38393,ENSMUSG00000000948,-2.554,6.08749570674792e-86
Dbi,ENSMUSG00000026385,-1.74237,2.92148830919628e-83
Ptprn,ENSMUSG00000026204,1.43303,3.81540512581305e-83
Ndrg2,ENSMUSG00000004558,-2.07988,1.21005615693864e-82
Ecel1,ENSMUSG00000026247,1.69026,2.48423388138298e-81
Syne1,ENSMUSG00000096054,-2.10761,9.1463709247274e-81
Cbarp,ENSMUSG00000035640,1.22434,1.21135591407095e-79
Fabp7,ENSMUSG00000019874,-2.78869,8.65063320531102e-78
Resp18,ENSMUSG00000033061,1.53061,1.55234753944828e-77
Spop,ENSMUSG00000057522,-1.7737,7.44394090838346e-77
Myo6,ENSMUSG00000033577,-2.56992,3.54768329869809e-76
mt-Co1,ENSMUSG00000064351,-5.47159,6.72867275968244e-76
Ly6e,ENSMUSG00000022587,1.27145,1.18953546955095e-75
Etv1,ENSMUSG00000004151,-2.16,4.38573147445751e-74
Kmt2d,ENSMUSG00000048154,-1.42658,3.46478762655617e-73
Enpp2,ENSMUSG00000022425,-2.26071,7.41804022877835e-73
Sparcl1,ENSMUSG00000029309,-2.06658,2.28237809405946e-72
Mal,ENSMUSG00000027375,-2.51301,4.63105037742781e-72
Tmem130,ENSMUSG00000043388,1.11945,1.1064141065473e-71
Mdn1,ENSMUSG00000058006,-2.2619,7.67478381723509e-71
Slc1a3,ENSMUSG00000005360,-2.66632,9.70821859079633e-71
Gng3,ENSMUSG00000071658,1.16565,4.00680876263359e-70
Tmem229a,ENSMUSG00000048022,-1.86379,4.56735982866419e-70
Apod,ENSMUSG00000022548,-2.88124,1.23171556922345e-69
Tet2,ENSMUSG00000040943,-2.0497,6.91928985895175e-69
Hipk2,ENSMUSG00000061436,-1.29829,8.39331858775812e-69
Amy1,ENSMUSG00000074264,-3.21354,4.91147967016775e-68
Zfp644,ENSMUSG00000049606,-1.52009,5.78378749124042e-68
Myrf,ENSMUSG00000036098,-2.57433,1.30257979915816e-67
Ubr4,ENSMUSG00000066036,-1.45096,6.19645262558632e-67
