gene,ensembl_gene_id,log2FoldChange,padj
Gnai3,ENSMUSG00000000001,-0.56516,0.0011073
Cdc45,ENSMUSG00000000028,0.94818,0.223339
H19,ENSMUSG00000000031,0.17642,0.8699522
Scml2,ENSMUSG00000000037,0.1728,0.7931988
Apoh,ENSMUSG00000000049,1.09774,0.7391687
Narf,ENSMUSG00000000056,-0.93327,0.0000002
Cav2,ENSMUSG00000000058,-0.69501,0.0240364
Klf6,ENSMUSG00000000078,-0.28623,0.3312217
Scmh1,ENSMUSG00000000085,0.32783,0.1283197
Cox5a,ENSMUSG00000000088,0.1904,0.1087638
Tbx2,ENSMUSG00000000093,-1.09599,0.5730638
Tbx4,ENSMUSG00000000094,-2.38797,1
Ngfr,ENSMUSG00000000120,-1.79763,0.2690479
Wnt3,ENSMUSG00000000125,-1.88255,0.0354379
Wnt9a,ENSMUSG00000000126,-1.40548,0.1251544
Fer,ENSMUSG00000000127,-0.732,0.0045038
Xpo6,ENSMUSG00000000131,-0.05695,0.7770983
Tfe3,ENSMUSG00000000134,0.70049,0.0306811
Axin2,ENSMUSG00000000142,-0.76243,0.0284372
Brat1,ENSMUSG00000000148,-0.03084,0.9621669
Gna12,ENSMUSG00000000149,-0.37172,0.1409146
Slc22a18,ENSMUSG00000000154,-2.32108,0.2127166
Igsf5,ENSMUSG00000000159,1.04152,0.6204789
Pih1d2,ENSMUSG00000000167,-0.61321,0.3009
Dlat,ENSMUSG00000000168,0.20134,0.1204945
Sdhd,ENSMUSG00000000171,0.43324,0.0000339
Fgf23,ENSMUSG00000000182,-1.89242,0.0238378
Fgf6,ENSMUSG00000000183,0.42134,1
Ccnd2,ENSMUSG00000000184,-0.07673,0.8925716
Gpr107,ENSMUSG00000000194,0.20477,0.5446657
Nalcn,ENSMUSG00000000197,0.33114,0.0606664
Btbd17,ENSMUSG00000000202,-1.25372,0.0534757
Slfn4,ENSMUSG00000000204,-3.40234,1
Th,ENSMUSG00000000214,-1.81619,0
Ins2,ENSMUSG00000000215,3.47897,1
Scnn1g,ENSMUSG00000000216,0.67675,1
Drp2,ENSMUSG00000000223,-1.42679,0
Tspan32,ENSMUSG00000000244,-4.13101,0.4332329
Lhx2,ENSMUSG00000000247,0.09609,0.8359377
Clec2g,ENSMUSG00000000248,-1.47233,1
Gmpr,ENSMUSG00000000253,0.79112,0
Glra1,ENSMUSG00000000263,-1.26465,0.0013131
Mid2,ENSMUSG00000000266,0.1807,0.1182214
Trim25,ENSMUSG00000000275,1.63082,0
Dgke,ENSMUSG00000000276,-0.31242,0.2513277
Scpep1,ENSMUSG00000000278,-0.20164,0.4752763
Mnt,ENSMUSG00000000282,0.58245,0.0119489
Itgb2,ENSMUSG00000000290,-2.86649,0.1637555
Hddc2,ENSMUSG00000000295,-0.04354,0.8196068
Tpd52l1,ENSMUSG00000000296,0.19521,0.1777316
Pemt,ENSMUSG00000000301,1.36769,0.0058248
Cdh1,ENSMUSG00000000303,-0.49495,0.4500011
Cdh4,ENSMUSG00000000305,-1.22556,0.0015786
Ckmt1,ENSMUSG00000000308,-0.18129,0.3427238
Bcl6b,ENSMUSG00000000317,-5.11924,0.0006431
Clec10a,ENSMUSG00000000318,-4.36009,0.2231615
Alox12,ENSMUSG00000000320,-3.33203,0.0859335
Comt,ENSMUSG00000000326,0.15528,0.5248257
Rtca,ENSMUSG00000000339,0.02089,0.8782855
Dbt,ENSMUSG00000000340,-0.73601,0.00005
Dazap2,ENSMUSG00000000346,-0.78835,0
Mcts1,ENSMUSG00000000355,0.57726,0.033899
Rem1,ENSMUSG00000000359,0.22798,0.8984851
