steps	class	density	group	n_genes	max_pearson	class_ordered	.group
-0.3	translation regulators	0.0819783803315101	gene classes	89	0.473333333333333	translation regulators	7
-0.293333333333333	translation regulators	0.0850410237560216	gene classes	89	0.473333333333333	translation regulators	7
-0.286666666666667	translation regulators	0.0884864560225522	gene classes	89	0.473333333333333	translation regulators	7
-0.28	translation regulators	0.0922997487214248	gene classes	89	0.473333333333333	translation regulators	7
-0.273333333333333	translation regulators	0.0965011915486828	gene classes	89	0.473333333333333	translation regulators	7
-0.266666666666667	translation regulators	0.101127819170567	gene classes	89	0.473333333333333	translation regulators	7
-0.26	translation regulators	0.106235965969648	gene classes	89	0.473333333333333	translation regulators	7
-0.253333333333333	translation regulators	0.111791118543601	gene classes	89	0.473333333333333	translation regulators	7
-0.246666666666667	translation regulators	0.117807836602628	gene classes	89	0.473333333333333	translation regulators	7
-0.24	translation regulators	0.124312617746091	gene classes	89	0.473333333333333	translation regulators	7
-0.233333333333333	translation regulators	0.131368457022441	gene classes	89	0.473333333333333	translation regulators	7
-0.226666666666667	translation regulators	0.13891675261892	gene classes	89	0.473333333333333	translation regulators	7
-0.22	translation regulators	0.14696039864487	gene classes	89	0.473333333333333	translation regulators	7
-0.213333333333333	translation regulators	0.155506892167658	gene classes	89	0.473333333333333	translation regulators	7
-0.206666666666667	translation regulators	0.164614946592225	gene classes	89	0.473333333333333	translation regulators	7
-0.2	translation regulators	0.174201738162191	gene classes	89	0.473333333333333	translation regulators	7
-0.193333333333333	translation regulators	0.184253708817977	gene classes	89	0.473333333333333	translation regulators	7
-0.186666666666667	translation regulators	0.194755281872775	gene classes	89	0.473333333333333	translation regulators	7
-0.18	translation regulators	0.205748162260183	gene classes	89	0.473333333333333	translation regulators	7
-0.173333333333333	translation regulators	0.217136084595422	gene classes	89	0.473333333333333	translation regulators	7
-0.166666666666667	translation regulators	0.2288912046982	gene classes	89	0.473333333333333	translation regulators	7
-0.16	translation regulators	0.240983703041251	gene classes	89	0.473333333333333	translation regulators	7
-0.153333333333333	translation regulators	0.253425395816304	gene classes	89	0.473333333333333	translation regulators	7
-0.146666666666667	translation regulators	0.266135278514231	gene classes	89	0.473333333333333	translation regulators	7
-0.14	translation regulators	0.279079874465344	gene classes	89	0.473333333333333	translation regulators	7
