gene	class	siteSet_name	pwm_name	total_pwms_in_gene	n_transcripts	pwms_per_transcript
B3gat2	Background	MA0018.2	CREB1	6	1	6
Sdhaf4	Background	MA0018.2	CREB1	4	1	4
Col19a1	Background	MA0018.2	CREB1	5	1	5
Ccdc115	Background	MA0018.2	CREB1	1	1	1
Hs6st1	Background	MA0018.2	CREB1	7	2	3.5
Tmem131	Background	MA0018.2	CREB1	15	2	7.5
Slc9a2	Background	MA0018.2	CREB1	6	1	6
Pantr1	Background	MA0018.2	CREB1	18	4	4.5
Tex30	Background	MA0018.2	CREB1	9	1	9
Dnah7b	Background	MA0018.2	CREB1	4	1	4
Myo1b	Background	MA0018.2	CREB1	11	2	5.5
Osgepl1	Background	MA0018.2	CREB1	6	1	6
Sf3b1	Background	MA0018.2	CREB1	4	1	4
Fam126b	Background	MA0018.2	CREB1	8	1	8
Fzd7	Background	MA0018.2	CREB1	5	1	5
Vwc2l	Background	MA0018.2	CREB1	3	1	3
Marchf4	Background	MA0018.2	CREB1	7	2	3.5
Ctdsp1	Background	MA0018.2	CREB1	13	2	6.5
Bcs1l	Background	MA0018.2	CREB1	6	1	6
Tmem198	Background	MA0018.2	CREB1	9	1	9
Epha4	Background	MA0018.2	CREB1	7	1	7
Acsl3	Background	MA0018.2	CREB1	9	1	9
Daw1	Background	MA0018.2	CREB1	4	1	4
Fbxo36	Background	MA0018.2	CREB1	11	2	5.5
Usp40	Background	MA0018.2	CREB1	1	1	1
Per2	IEGs	MA0018.2	CREB1	13	1	13
Stk25	Background	MA0018.2	CREB1	12	1	12
Dtymk	Background	MA0018.2	CREB1	14	2	7
Pam	Background	MA0018.2	CREB1	18	4	4.5
Clasp1	Background	MA0018.2	CREB1	26	4	6.5
Dbi	Background	MA0018.2	CREB1	14	2	7
Lypd1	Background	MA0018.2	CREB1	13	3	4.33333333333333
Ikbke	IEGs	MA0018.2	CREB1	11	2	5.5
Mdm4	Background	MA0018.2	CREB1	7	2	3.5
Atp2b4	Background	MA0018.2	CREB1	14	2	7
Btg2	IEGs	MA0018.2	CREB1	7	1	7
Lgr6	Background	MA0018.2	CREB1	6	2	3
Glrx2	Background	MA0018.2	CREB1	12	3	4
Rgs2	IEGs	MA0018.2	CREB1	8	1	8
Rgs1	IEGs	MA0018.2	CREB1	4	1	4
Pla2g4a	Background	MA0018.2	CREB1	11	3	3.66666666666667
Ptgs2	IEGs	MA0018.2	CREB1	19	3	6.33333333333333
Edem3	Background	MA0018.2	CREB1	1	1	1
Ier5	IEGs	MA0018.2	CREB1	5	2	2.5
Ccdc190	Background	MA0018.2	CREB1	14	2	7
Kcnj10	Background	MA0018.2	CREB1	5	1	5
Tagln2	Background	MA0018.2	CREB1	25	4	6.25
Akt3	Background	MA0018.2	CREB1	3	1	3
Adss	Background	MA0018.2	CREB1	12	2	6
Cox20	Background	MA0018.2	CREB1	3	1	3
Hnrnpu	Background	MA0018.2	CREB1	42	7	6
Tmem63a	Background	MA0018.2	CREB1	16	3	5.33333333333333
Brox	Background	MA0018.2	CREB1	11	1	11
Taf1a	Background	MA0018.2	CREB1	1	1	1
Slc30a10	Background	MA0018.2	CREB1	1	1	1
Smyd2	Background	MA0018.2	CREB1	11	2	5.5
Atf3	IEGs	MA0018.2	CREB1	26	3	8.66666666666667
Gstp-ps	Background	MA0018.2	CREB1	4	1	4
Myct1	Background	MA0018.2	CREB1	4	1	4
Stxbp5	Background	MA0018.2	CREB1	6	1	6
Fbxo30	Background	MA0018.2	CREB1	8	1	8
Phactr2	Background	MA0018.2	CREB1	21	4	5.25
Vta1	Background	MA0018.2	CREB1	4	1	4
Tnfaip3	IEGs	MA0018.2	CREB1	52	6	8.66666666666667
Slc35d3	Background	MA0018.2	CREB1	3	1	3
Sgk1	IEGs	MA0018.2	CREB1	35	7	5
Gm48893	Background	MA0018.2	CREB1	7	1	7
Themis	Background	MA0018.2	CREB1	4	1	4
Ncoa7	IEGs	MA0018.2	CREB1	17	3	5.66666666666667
Clvs2	Background	MA0018.2	CREB1	2	1	2
Frk	Background	MA0018.2	CREB1	5	1	5
Rev3l	Background	MA0018.2	CREB1	7	1	7
Slc16a10	Background	MA0018.2	CREB1	5	1	5
Nr2e1	Background	MA0018.2	CREB1	10	2	5
Ostm1	Background	MA0018.2	CREB1	9	2	4.5
Ranbp2	Background	MA0018.2	CREB1	27	4	6.75
Dnajb12	Background	MA0018.2	CREB1	4	1	4
Lrrc20	Background	MA0018.2	CREB1	8	1	8
Macroh2a2	Background	MA0018.2	CREB1	7	1	7
Tspan15	Background	MA0018.2	CREB1	8	2	4
Egr2	IEGs	MA0018.2	CREB1	10	2	5
Phyhipl	Background	MA0018.2	CREB1	6	2	3
Snrpd3	Background	MA0018.2	CREB1	4	1	4
Mcm3ap	Background	MA0018.2	CREB1	12	2	6
Col18a1	Background	MA0018.2	CREB1	54	5	10.8
Rrp1	Background	MA0018.2	CREB1	13	1	13
Tcf3	Background	MA0018.2	CREB1	25	4	6.25
Csnk1g2	Background	MA0018.2	CREB1	21	2	10.5
Gadd45b	IEGs	MA0018.2	CREB1	6	1	6
Zbtb7a	Background	MA0018.2	CREB1	35	6	5.83333333333333
Matk	Background	MA0018.2	CREB1	12	3	4
Mrpl54	Background	MA0018.2	CREB1	13	1	13
Hmg20b	Background	MA0018.2	CREB1	15	2	7.5
Celf5	Background	MA0018.2	CREB1	26	4	6.5
Ncln	Background	MA0018.2	CREB1	15	2	7.5
S1pr4	Background	MA0018.2	CREB1	11	1	11
Tdg	Background	MA0018.2	CREB1	9	1	9
Nuak1	Background	MA0018.2	CREB1	3	1	3
Cry1	Background	MA0018.2	CREB1	6	1	6
Anks1b	Background	MA0018.2	CREB1	32	6	5.33333333333333
Ikbip	Background	MA0018.2	CREB1	12	1	12
Mrpl42	Background	MA0018.2	CREB1	2	1	2
Dusp6	IEGs	MA0018.2	CREB1	9	2	4.5
Slc6a15	Background	MA0018.2	CREB1	4	1	4
Ptprb	Background	MA0018.2	CREB1	22	3	7.33333333333333
Gm5781	Background	MA0018.2	CREB1	11	1	11
Cpm	Background	MA0018.2	CREB1	11	2	5.5
Msrb3	Background	MA0018.2	CREB1	11	2	5.5
Ppm1h	Background	MA0018.2	CREB1	33	4	8.25
Ndufa4l2	Background	MA0018.2	CREB1	2	1	2
Il23a	IEGs	MA0018.2	CREB1	6	1	6
Cs	Background	MA0018.2	CREB1	13	2	6.5
Smarcc2	Background	MA0018.2	CREB1	25	4	6.25
Rdh5	Background	MA0018.2	CREB1	4	1	4
Drg1	Background	MA0018.2	CREB1	6	1	6
Tug1	Background	MA0018.2	CREB1	26	3	8.66666666666667
Zmat5	Background	MA0018.2	CREB1	6	1	6
Rhbdd3	Background	MA0018.2	CREB1	12	2	6
Kremen1	Background	MA0018.2	CREB1	6	1	6
Nacad	Background	MA0018.2	CREB1	20	2	10
Cobl	Background	MA0018.2	CREB1	14	2	7
Eldr	Background	MA0018.2	CREB1	3	1	3
Wdr92	Background	MA0018.2	CREB1	7	1	7
